date,block_id,rep,brix,pH,TA,treatment ,block_rep,,,,
6/24/20,B1R1,1,4.7,2.55,39.86,1,1,,,,
6/24/20,B1R1,2,4.6,2.57,40.26,1,1,,,,
6/24/20,B1R1,3,4.6,2.57,40.34,1,1,,,,
6/24/20,B1R3,1,4.7,2.50,41.62,1,2,,,,
6/24/20,B1R3,2,4.7,2.52,41.40,1,2,,,,
6/24/20,B1R3,3,5.1,2.55,41.15,1,2,,,,
6/24/20,B1R4,1,4.9,2.56,42.14,1,3,,,,
6/24/20,B1R4,2,4.9,2.54,43.17,1,3,,,,
6/24/20,B1R4,3,5.0,2.56,42.36,1,3,,,,
6/24/20,B2R1,1,4.8,2.48,41.81,2,1,,,,
6/24/20,B2R1,2,4.8,2.46,42.21,2,1,,,,
6/24/20,B2R1,3,4.8,2.48,40.41,2,1,,,,
6/24/20,B2R2,1,4.6,2.44,39.31,2,2,,,,
6/24/20,B2R2,2,4.5,2.46,39.64,2,2,,,,
6/24/20,B2R2,3,4.6,2.39,38.83,2,2,,,,
6/24/20,B2R3,1,4.8,2.53,40.37,2,3,,,,
6/24/20,B2R3,2,4.8,2.52,40.04,2,3,,,,
6/24/20,B2R3,3,4.9,2.52,39.82,2,3,,,,
6/24/20,B3R1,1,4.7,2.52,40.67,3,1,,,,
6/24/20,B3R1,2,4.7,2.54,41.73,3,1,,,,
6/24/20,B3R1,3,4.7,2.50,40.56,3,1,,,,
6/24/20,B3R2,1,4.6,2.49,39.86,3,2,,,,
6/24/20,B3R2,2,4.5,2.51,37.98,3,2,,,,
6/24/20,B3R2,3,4.6,2.49,39.42,3,2,,,,
6/24/20,B3R3,1,5.2,2.50,41.77,3,3,,,,
6/24/20,B3R3,2,5.3,2.53,40.67,3,3,,,,
6/24/20,B3R3,3,5.4,2.52,40.85,3,3,,,,
7/8/2020,B1R1,1,5.4,2.48,44.39,1,1,,,,
7/8/2020,B1R1,2,5.5,2.47,44.95,1,1,,,,
7/8/2020,B1R1,3,5.4,2.47,44.77,1,1,,,,
7/8/2020,B1R3,1,5.4,2.47,42.91,1,2,,,,
7/8/2020,B1R3,2,5.3,2.48,43.65,1,2,,,,
7/8/2020,B1R3,3,5.5,2.49,43.28,1,2,,,,
7/8/2020,B1R4,1,5.6,2.53,44.77,1,3,,,,
7/8/2020,B1R4,2,5.5,2.54,44.39,1,3,,,,
7/8/2020,B1R4,3,5.5,2.53,45.69,1,3,,,,
7/8/2020,B2R1,1,5.5,2.45,44.58,2,1,,,,
7/8/2020,B2R1,2,5.7,2.49,43.47,2,1,,,,
7/8/2020,B2R1,3,5.6,2.49,44.21,2,1,,,,
7/8/2020,B2R2,1,5.2,2.46,42.72,2,2,,,,
7/8/2020,B2R2,2,5.3,2.46,43.09,2,2,,,,
7/8/2020,B2R2,3,5.3,2.43,43.65,2,2,,,,
7/8/2020,B2R3,1,5.3,2.51,43.84,2,3,,,,
7/8/2020,B2R3,2,5.2,2.47,43.09,2,3,,,,
7/8/2020,B2R3,3,5.3,2.50,43.47,2,3,,,,
7/8/2020,B3R1,1,5.4,2.53,44.02,3,1,,,,
7/8/2020,B3R1,2,5.4,2.49,44.21,3,1,,,,
7/8/2020,B3R1,3,5.3,2.46,43.84,3,1,,,,
7/8/2020,B3R2,1,5.1,2.43,43.47,3,2,,,,
7/8/2020,B3R2,2,5.4,2.44,42.72,3,2,,,,
7/8/2020,B3R2,3,5.2,2.41,44.21,3,2,,,,
7/8/2020,B3R3,1,5.6,2.42,44.21,3,3,,,,
7/8/2020,B3R3,2,5.6,2.40,45.51,3,3,,,,
7/8/2020,B3R3,3,5.7,2.43,45.88,3,3,,,,
7/12/2020,B1R1,1,5.3,2.51,42.35,1,1,,,,
7/12/2020,B1R1,2,5.4,2.55,42.17,1,1,,,,
7/12/2020,B1R1,3,5.4,2.55,41.98,1,1,,,,
7/12/2020,B1R3,1,5.4,2.53,42.17,1,2,,,,
7/12/2020,B1R3,2,5.4,2.52,42.35,1,2,,,,
7/12/2020,B1R3,3,5.5,2.57,42.17,1,2,,,,
7/12/2020,B1R4,1,5.6,2.57,43.65,1,3,,,,
7/12/2020,B1R4,2,5.6,2.55,44.39,1,3,,,,
7/12/2020,B1R4,3,5.6,2.57,44.21,1,3,,,,
7/12/2020,B2R1,1,5.3,2.51,41.42,2,1,,,,
7/12/2020,B2R1,2,5.4,2.54,41.24,2,1,,,,
7/12/2020,B2R1,3,5.3,2.55,41.24,2,1,,,,
7/12/2020,B2R2,1,5.1,2.53,40.31,2,2,,,,
7/12/2020,B2R2,2,5.0,2.55,39.56,2,2,,,,
7/12/2020,B2R2,3,5.0,2.51,40.12,2,2,,,,
7/12/2020,B2R3,1,5.2,2.51,41.24,2,3,,,,
7/12/2020,B2R3,2,5.1,2.52,40.87,2,3,,,,
7/12/2020,B2R3,3,5.2,2.59,41.24,2,3,,,,
7/12/2020,B3R1,1,5.2,2.52,40.68,3,1,,,,
7/12/2020,B3R1,2,5.4,2.52,41.24,3,1,,,,
7/12/2020,B3R1,3,5.3,2.54,40.12,3,1,,,,
7/12/2020,B3R2,1,5.0,2.52,40.68,3,2,,,,
7/12/2020,B3R2,2,5.0,2.47,40.31,3,2,,,,
7/12/2020,B3R2,3,5.0,2.49,40.68,3,2,,,,
7/12/2020,B3R3,1,5.6,2.56,40.87,3,3,,,,
7/12/2020,B3R3,2,5.5,2.52,40.49,3,3,,,,
7/12/2020,B3R3,3,5.6,2.53,40.49,3,3,,,,
7/21/2020,B1R1,1,6.9,2.52,35.31,1,1,,,,
7/21/2020,B1R1,2,7.0,2.52,34.09,1,1,,,,
7/21/2020,B1R1,3,6.8,2.49,35.11,1,1,,,,
7/21/2020,B1R3,1,7.5,2.54,31.92,1,2,,,,
7/21/2020,B1R3,2,6.6,2.55,33.53,1,2,,,,
7/21/2020,B1R3,3,7.1,2.56,34.54,1,2,,,,
7/21/2020,B1R4,1,7.6,2.53,33.40,1,3,,,,
7/21/2020,B1R4,2,7.3,2.53,34.42,1,3,,,,
7/21/2020,B1R4,3,7.1,2.49,35.38,1,3,,,,
7/21/2020,B2R1,1,7.0,2.52,34.17,2,1,,,,
7/21/2020,B2R1,2,7.5,2.56,33.25,2,1,,,,
7/21/2020,B2R1,3,7.5,2.55,34.69,2,1,,,,
7/21/2020,B2R2,1,8.2,2.52,32.14,2,2,,,,
7/21/2020,B2R2,2,8.2,2.55,32.44,2,2,,,,
7/21/2020,B2R2,3,7.9,2.55,32.73,2,2,,,,
7/21/2020,B2R3,1,6.7,2.56,35.43,2,3,,,,
7/21/2020,B2R3,2,6.5,2.55,36.99,2,3,,,,
7/21/2020,B2R3,3,5.7,2.55,38.03,2,3,,,,
7/21/2020,B3R1,1,7.7,2.58,31.32,3,1,,,,
7/21/2020,B3R1,2,7.0,2.59,31.47,3,1,,,,
7/21/2020,B3R1,3,7.3,2.55,33.33,3,1,,,,
7/21/2020,B3R2,1,8.8,2.52,35.08,3,2,,,,
7/21/2020,B3R2,2,8.8,2.51,36.74,3,2,,,,
7/21/2020,B3R2,3,7.9,2.53,35.51,3,2,,,,
7/21/2020,B3R3,1,7.0,2.54,35.51,3,3,,,,
7/21/2020,B3R3,2,6.1,2.51,36.08,3,3,,,,
7/21/2020,B3R3,3,6.7,2.53,35.60,3,3,,,,
8/3/2020,B1R1,1,16.8,2.88,13.17,1,1,,,,
8/3/2020,B1R1,2,16.9,2.92,12.86,1,1,,,,
8/3/2020,B1R1,3,16.9,2.91,12.71,1,1,,,,
8/3/2020,B1R3,1,16.6,2.9,14.25,1,2,,,,
8/3/2020,B1R3,2,16.4,2.84,14.82,1,2,,,,
8/3/2020,B1R3,3,16.8,2.87,13.7,1,2,,,,
8/3/2020,B1R4,1,17.2,2.88,14.64,1,3,,,,
8/3/2020,B1R4,2,16.8,2.85,15.11,1,3,,,,
8/3/2020,B1R4,3,16.7,2.92,14.4,1,3,,,,
8/3/2020,B2R1,1,17,2.89,13.89,2,1,,,,
8/3/2020,B2R1,2,16.7,2.85,14.94,2,1,,,,
8/3/2020,B2R1,3,16.9,2.89,14.21,2,1,,,,
8/3/2020,B2R2,1,17.5,2.85,14.07,2,2,,,,
8/3/2020,B2R2,2,17.4,2.86,14.48,2,2,,,,
8/3/2020,B2R2,3,16.9,2.84,14.49,2,2,,,,
8/3/2020,B2R3,1,16.7,2.79,15.24,2,3,,,,
8/3/2020,B2R3,2,16.8,2.84,14.84,2,3,,,,
8/3/2020,B2R3,3,16.9,2.87,14.79,2,3,,,,
8/3/2020,B3R1,1,17.6,2.9,13.23,3,1,,,,
8/3/2020,B3R1,2,17.8,2.91,13.41,3,1,,,,
8/3/2020,B3R1,3,17.7,2.92,13.91,3,1,,,,
8/3/2020,B3R2,1,17.6,2.89,14.15,3,2,,,,
8/3/2020,B3R2,2,17.8,2.84,16.32,3,2,,,,
8/3/2020,B3R2,3,17.7,2.86,15.75,3,2,,,,
8/3/2020,B3R3,1,17.1,2.82,15.02,3,3,,,,
8/3/2020,B3R3,2,17.1,2.83,15.26,3,3,,,,
8/3/2020,B3R3,3,17.4,2.83,14.73,3,3,,,,
8/13/2020,B1R1,1,20.8,3.18,7.66,1,1,,,,
8/13/2020,B1R1,2,20.6,3.24,7.13,1,1,,,,
8/13/2020,B1R1,3,20.7,3.12,8,1,1,,,,
8/13/2020,B1R3,1,21.1,3.24,7.55,1,2,,,,
8/13/2020,B1R3,2,20.7,3.22,7.76,1,2,,,,
8/13/2020,B1R3,3,20.6,3.2,8.01,1,2,,,,
8/13/2020,B1R4,1,21.3,3.18,7.46,1,3,,,,
8/13/2020,B1R4,2,21.1,3.16,7.74,1,3,,,,
8/13/2020,B1R4,3,20.9,3.2,8.17,1,3,,,,
8/13/2020,B2R1,1,20.7,3.11,7.88,2,1,,,,
8/13/2020,B2R1,2,20.4,3.13,8.15,2,1,,,,
8/13/2020,B2R1,3,20.4,3.15,7.98,2,1,,,,
8/13/2020,B2R2,1,20.9,3.09,7.85,2,2,,,,
8/13/2020,B2R2,2,20.6,3.13,8.05,2,2,,,,
8/13/2020,B2R2,3,21,3.12,8.35,2,2,,,,
8/13/2020,B2R3,1,20.3,3.17,7.86,2,3,,,,
8/13/2020,B2R3,2,20.5,3.21,8.12,2,3,,,,
8/13/2020,B2R3,3,20.6,3.17,8.36,2,3,,,,
8/13/2020,B3R1,1,21,3.06,7.41,3,1,,,,
8/13/2020,B3R1,2,21,3.11,7.57,3,1,,,,
8/13/2020,B3R1,3,21.1,3.14,7.25,3,1,,,,
8/13/2020,B3R2,1,21,3.07,8.50,3,2,,,,
8/13/2020,B3R2,2,20.6,3.04,8.89,3,2,,,,
8/13/2020,B3R2,3,20.6,3.08,8.78,3,2,,,,
8/13/2020,B3R3,1,21.1,3.06,8.04,3,3,,,,
8/13/2020,B3R3,2,21.3,3.1,7.71,3,3,,,,
8/13/2020,B3R3,3,21.2,3.13,7.73,3,3,,,,
8/16/2020,B1R1,1,21.3,3.31,6.77,1,1,,,,
8/16/2020,B1R1,2,21.8,3.28,6.46,1,1,,,,
8/16/2020,B1R1,3,21.8,3.35,6.33,1,1,,,,
8/16/2020,B1R3,1,21.5,3.36,6.02,1,2,,,,
8/16/2020,B1R3,2,21.8,3.33,6.28,1,2,,,,
8/16/2020,B1R3,3,21.6,3.36,6.02,1,2,,,,
8/16/2020,B1R4,1,23.0,3.31,6.11,1,3,,,,
8/16/2020,B1R4,2,22.9,3.30,6.26,1,3,,,,
8/16/2020,B1R4,3,22.5,3.26,6.51,1,3,,,,
8/16/2020,B2R1,1,22.1,3.20,6.68,2,1,,,,
8/16/2020,B2R1,2,22.3,3.21,6.64,2,1,,,,
8/16/2020,B2R1,3,22.1,3.23,6.81,2,1,,,,
8/16/2020,B2R2,1,21.8,3.24,6.10,2,2,,,,
8/16/2020,B2R2,2,22.0,3.22,6.02,2,2,,,,
8/16/2020,B2R2,3,22.1,3.26,6.07,2,2,,,,
8/16/2020,B2R3,1,22.0,3.32,5.90,2,3,,,,
8/16/2020,B2R3,2,22.0,3.24,6.42,2,3,,,,
8/16/2020,B2R3,3,21.7,3.30,6.16,2,3,,,,
8/16/2020,B3R1,1,22.3,3.31,5.80,3,1,,,,
8/16/2020,B3R1,2,22.4,3.29,5.78,3,1,,,,
8/16/2020,B3R1,3,22.5,3.23,6.16,3,1,,,,
8/16/2020,B3R2,1,22.2,3.23,6.88,3,2,,,,
8/16/2020,B3R2,2,22.3,3.22,6.82,3,2,,,,
8/16/2020,B3R2,3,21.9,3.21,7.06,3,2,,,,
8/16/2020,B3R3,1,22.4,3.22,6.36,3,3,,,,
8/16/2020,B3R3,2,22.4,3.24,6.20,3,3,,,,
8/16/2020,B3R3,3,22.8,3.25,5.84,3,3,,,,
8/22/2020,B1R1,1,23.0,3.33,5.36,1,1,,,,
8/22/2020,B1R1,2,23.2,3.31,5.67,1,1,,,,
8/22/2020,B1R1,3,22.8,3.32,5.78,1,1,,,,
8/22/2020,B1R3,1,23.4,3.27,5.57,1,2,,,,
8/22/2020,B1R3,2,22.9,3.20,5.68,1,2,,,,
8/22/2020,B1R3,3,23.1,3.26,5.47,1,2,,,,
8/22/2020,B1R4,1,24.2,3.35,5.24,1,3,,,,
8/22/2020,B1R4,2,24.1,3.28,5.66,1,3,,,,
8/22/2020,B1R4,3,24.2,3.21,6.07,1,3,,,,
8/22/2020,B2R1,1,23.7,3.34,4.84,2,1,,,,
8/22/2020,B2R1,2,23.4,3.17,6.15,2,1,,,,
8/22/2020,B2R1,3,23.3,3.20,6.14,2,1,,,,
8/22/2020,B2R2,1,22.7,3.24,5.69,2,2,,,,
8/22/2020,B2R2,2,23.3,3.28,5.19,2,2,,,,
8/22/2020,B2R2,3,23.5,3.32,5.09,2,2,,,,
8/22/2020,B2R3,1,22.8,3.32,5.20,2,3,,,,
8/22/2020,B2R3,2,23.1,3.38,4.90,2,3,,,,
8/22/2020,B2R3,3,22.9,3.40,5.07,2,3,,,,
8/22/2020,B3R1,1,24.2,3.33,4.98,3,1,,,,
8/22/2020,B3R1,2,23.6,3.43,4.68,3,1,,,,
8/22/2020,B3R1,3,23.4,3.37,4.93,3,1,,,,
8/22/2020,B3R2,1,23.0,3.33,5.71,3,2,,,,
8/22/2020,B3R2,2,22.9,3.31,5.82,3,2,,,,
8/22/2020,B3R2,3,23.2,3.33,5.57,3,2,,,,
8/22/2020,B3R3,1,23.1,3.21,6.19,3,3,,,,
8/22/2020,B3R3,2,22.9,3.20,6.15,3,3,,,,
8/22/2020,B3R3,3,23.4,3.18,6.31,3,3,,,,
8/27/2020,B1R1,1,23.4,3.33,4.31,1,1,,,,
8/27/2020,B1R1,2,23.5,3.29,4.64,1,1,,,,
8/27/2020,B1R1,3,23.6,3.33,4.57,1,1,,,,
8/27/2020,B1R3,1,23.8,3.31,4.66,1,2,,,,
8/27/2020,B1R3,2,23.9,3.39,4.39,1,2,,,,
8/27/2020,B1R3,3,23.5,3.35,4.66,1,2,,,,
8/27/2020,B1R4,1,24.5,3.41,4.68,1,3,,,,
8/27/2020,B1R4,2,24.4,3.41,4.61,1,3,,,,
8/27/2020,B1R4,3,24.6,3.43,4.53,1,3,,,,
8/27/2020,B2R1,1,23.4,3.27,4.84,2,1,,,,
8/27/2020,B2R1,2,23.9,3.26,4.97,2,1,,,,
8/27/2020,B2R1,3,23.9,3.29,4.9,2,1,,,,
8/27/2020,B2R2,1,23.7,3.35,5.25,2,2,,,,
8/27/2020,B2R2,2,23.5,3.32,5.21,2,2,,,,
8/27/2020,B2R2,3,23.4,3.33,5.36,2,2,,,,
8/27/2020,B2R3,1,23.4,3.45,5.42,2,3,,,,
8/27/2020,B2R3,2,23.2,3.33,5.54,2,3,,,,
8/27/2020,B2R3,3,23.7,3.45,5,2,3,,,,
8/27/2020,B3R1,1,23.6,3.37,4.95,3,1,,,,
8/27/2020,B3R1,2,24,3.36,4.93,3,1,,,,
8/27/2020,B3R1,3,23.3,3.43,4.82,3,1,,,,
8/27/2020,B3R2,1,23.5,3.31,5.45,3,2,,,,
8/27/2020,B3R2,2,23.2,3.36,5.41,3,2,,,,
8/27/2020,B3R2,3,23.4,3.31,5.73,3,2,,,,
8/27/2020,B3R3,1,23.4,3.31,5.51,3,3,,,,
8/27/2020,B3R3,2,23.1,3.4,5.48,3,3,,,,
8/27/2020,B3R3,3,23.8,3.41,5.04,3,3,,,,
9/4/2020,B1R1,1,24.6,3.45,3.79,1,1,,,,
9/4/2020,B1R1,2,24.1,3.54,3.74,1,1,,,,
9/4/2020,B1R1,3,24.5,3.44,4.06,1,1,,,,
9/4/2020,B1R3,1,24.6,3.48,3.87,1,2,,,,
9/4/2020,B1R3,2,24.5,3.42,4.06,1,2,,,,
9/4/2020,B1R3,3,24.8,3.54,3.86,1,2,,,,
9/4/2020,B1R4,1,24.7,3.48,3.66,1,3,,,,
9/4/2020,B1R4,2,25.2,3.48,3.83,1,3,,,,
9/4/2020,B1R4,3,24.9,3.46,4.22,1,3,,,,
9/4/2020,B2R1,1,24.9,3.35,4.07,2,1,,,,
9/4/2020,B2R1,2,25.3,3.34,4.27,2,1,,,,
9/4/2020,B2R1,3,24.6,3.33,4.43,2,1,,,,
9/4/2020,B2R2,1,24.4,3.41,4.71,2,2,,,,
9/4/2020,B2R2,2,24.4,3.41,4.89,2,2,,,,
9/4/2020,B2R2,3,24.3,3.45,4.14,2,2,,,,
9/4/2020,B2R3,1,24.2,3.46,4.14,2,3,,,,
9/4/2020,B2R3,2,24.0,3.44,4.37,2,3,,,,
9/4/2020,B2R3,3,24.1,3.44,4.63,2,3,,,,
9/4/2020,B3R1,1,24.8,3.42,4.32,3,1,,,,
9/4/2020,B3R1,2,24.5,3.42,4.64,3,1,,,,
9/4/2020,B3R1,3,24.8,3.38,4.66,3,1,,,,
9/4/2020,B3R2,1,24.2,3.29,5.06,3,2,,,,
9/4/2020,B3R2,2,24.3,3.32,5.18,3,2,,,,
9/4/2020,B3R2,3,24.0,3.35,5.12,3,2,,,,
9/4/2020,B3R3,1,24.5,3.38,4.58,3,3,,,,
9/4/2020,B3R3,2,24.1,3.38,4.92,3,3,,,,
